C0162429;
C1820721;
C0025519;
C1287879;
C1961155;
C0597669;
C1704763;
C0014272;
C0429629;
C0682610;
C0021839;
C1327458;
C1516022;
C0232645;
C0301872;
C0020962;
C1817764;
C0282557;
C0020969;
C0003315;
C0027950;
C2936529;
C0206120;
C0022688;
C0024880;
C0678209;
C0039194;
C0018894;
C0079189;
C0079189;
C0004561;
C0032112;
C0012238;
C3889047;
C0021833;
C0021845;
C0870883;
C0149696;
C3665356;
C0021843;
C0559031;
C0854121;
C3825974;
C1154988;
C2677484;
C0022104;
C0000737;
C0013395;
C1291077;
C0232716;
C0232693;
C0016204;
C0596601;
C0014724;
C3887532;
C0027497;
C0239233;
C0855232;
C2919208;
C0231353;
C0000729;
C0237328;
C0877617;
C0018834;
C0021838;
C1167677;
C1504373;
C0011135;
C0549357;
C0278008;
C0426740;
C1287101;
C2371131;
C0278015;
C2020389;
C0849824;
C0239978;
C0581872;
C0009806;
C0011991;
C2129214;
C0278016;
C2020388;
C0544613;
C0426636;
C0426639;
C0015672;
C0231528;
C0549622;
C0024031;
C1970120;
C0542042;
C1527395;
C0948733;
C0010346;
C3658208;
C2959722;
C0267465;
C1262477;
C0018932;
C0015732;
C1699732;
C0004943;
C0858761;
C0009324;
C0002871;
C1515999;
C1527304;
C0266836;
C1822595;
C0020963;
C0007570;
C2753459;
C1817396;
C1752857;
C1327441;
C0004610;
C0282583;
C0333355;
C0014356;
C0021368;
C0578159;
C0003232;
C0242358;
C0014335;
C0021831;
C0751982;
C1394714;
C1142262;
C2004461;
C0178238;
C0030499;
C0021832;
C0577106;
C2238124;
C3665877;
C3805050;
C0342917;
C0240066;
C0517627;
C0020964;
C0035243;
C0041912;
C0149725;
C0042029;
C0004659;
C0004614;
C0085166;
C2985398;
C0017189;
C0012240;
C0699819;
C0021853;
C1278923;
C1281569;
C0086387;
C1510475;
C0009319;
C0520459;
C0020429;
C1154674;
C2225262;
C0053567;
C4076422;
C0029456;
C0003864;
C0578020;
C1579931;
C0011608;
C2232696;
C0003467;
C0232488;
C2584328;
C0277999;
C0036239;
C0232726;
C4062704;
C0221152;
C0426739;
C2032722;
C0015734;
C2752798;
