"qtl_id"	"gene"	"chr"
"QTL:5223"	"RASGRP1"	"1"
"QTL:5255"	"RASGRP1"	"1"
"QTL:6481"	"RASGRP1"	"1"
"QTL:5223"	"NEDD4L"	"1"
"QTL:5255"	"NEDD4L"	"1"
"QTL:5223"	"HACD3"	"1"
"QTL:5255"	"HACD3"	"1"
"QTL:5223"	"HACD4"	"1"
"QTL:5255"	"HACD4"	"1"
"QTL:5223"	"SNAPC3"	"1"
"QTL:5255"	"SNAPC3"	"1"
"QTL:5223"	"PRUNE2"	"1"
"QTL:5255"	"PRUNE2"	"1"
"QTL:5223"	"TLE4"	"1"
"QTL:5255"	"TLE4"	"1"
"QTL:582"	"TLE4"	"1"
"QTL:5223"	"TLE1"	"1"
"QTL:5255"	"TLE1"	"1"
"QTL:582"	"TLE1"	"1"
"QTL:5223"	"UNC13B"	"1"
"QTL:5255"	"UNC13B"	"1"
"QTL:582"	"UNC13B"	"1"
"QTL:5223"	"CREB3"	"1"
"QTL:5255"	"CREB3"	"1"
"QTL:582"	"CREB3"	"1"
"QTL:1250"	"GALNT12"	"1"
"QTL:5223"	"GALNT12"	"1"
"QTL:5255"	"GALNT12"	"1"
"QTL:582"	"GALNT12"	"1"
"QTL:822"	"GALNT12"	"1"
"QTL:845"	"GALNT12"	"1"
"QTL:5223"	"FRRS1L"	"1"
"QTL:5255"	"FRRS1L"	"1"
"QTL:5223"	"LPAR1"	"1"
"QTL:5255"	"LPAR1"	"1"
"QTL:6463"	"LPAR1"	"1"
"QTL:6480"	"LPAR1"	"1"
"QTL:57012"	"NDRG1"	"4"
"QTL:57013"	"NDRG1"	"4"
"QTL:57014"	"NDRG1"	"4"
"QTL:8799"	"NDRG1"	"4"
"QTL:5225"	"NDRG1"	"4"
"QTL:5256"	"NDRG1"	"4"
"QTL:8799"	"TG"	"4"
"QTL:5225"	"TG"	"4"
"QTL:5256"	"TG"	"4"
"QTL:5225"	"NOV"	"4"
"QTL:5256"	"NOV"	"4"
"QTL:5225"	"WWP1"	"4"
"QTL:5256"	"WWP1"	"4"
"QTL:5225"	"ZC2HC1A"	"4"
"QTL:5256"	"ZC2HC1A"	"4"
"QTL:5256"	"SULF1"	"4"
"QTL:5256"	"ADHFE1"	"4"
"QTL:5256"	"CHD7"	"4"
"QTL:5256"	"ADCY10"	"4"
"QTL:5229"	"DSTN"	"17"
"QTL:5229"	"SIRPD"	"17"
"QTL:5229"	"SIRPB2"	"17"
"QTL:5229"	"NDRG3"	"17"
"QTL:5229"	"WISP2"	"17"
"QTL:5229"	"SULF2"	"17"
"QTL:5229"	"DOK5"	"17"
"QTL:5229"	"PPP1R3D"	"17"
"QTL:5224"	"PDCL3"	"3"
"QTL:6465"	"PDCL3"	"3"
"QTL:5224"	"CNNM3"	"3"
"QTL:6465"	"CNNM3"	"3"
"QTL:5224"	"DOK1"	"3"
"QTL:6465"	"DOK1"	"3"
"QTL:5224"	"ARHGAP25"	"3"
"QTL:6465"	"ARHGAP25"	"3"
"QTL:5224"	"REL"	"3"
"QTL:6465"	"REL"	"3"
"QTL:5224"	"PAPOLG"	"3"
"QTL:6465"	"PAPOLG"	"3"
"QTL:5224"	"RASGRP3"	"3"
"QTL:5224"	"GALNT14"	"3"
"QTL:8797"	"GALNT14"	"3"
"QTL:8798"	"GALNT14"	"3"
"QTL:4253"	"SLC10A4"	"8"
"QTL:1100"	"SLC10A4"	"8"
"QTL:37450"	"PDCL2"	"8"
"QTL:4253"	"PDCL2"	"8"
"QTL:95554"	"PDCL2"	"8"
"QTL:1100"	"PDCL2"	"8"
"QTL:4253"	"SMARCA5"	"8"
"QTL:1100"	"SMARCA5"	"8"
"QTL:8808"	"SLC9B1"	"8"
"QTL:8808"	"DNAJB14"	"8"
"QTL:8809"	"COL4A1"	"11"
"QTL:8809"	"COL4A2"	"11"
"QTL:37464"	"DNAJB12"	"14"
"QTL:5259"	"COQ8A"	"10"
"QTL:5259"	"CYB5R1"	"10"
"QTL:1110"	"EPC1"	"10"
"QTL:2928"	"EPC1"	"10"
"QTL:594"	"EPC1"	"10"
"QTL:2928"	"NEBL"	"10"
"QTL:5258"	"NEBL"	"10"
"QTL:594"	"NEBL"	"10"
"QTL:1107"	"ITGB1"	"10"
"QTL:2928"	"ITGB1"	"10"
"QTL:593"	"RELA"	"2"
"QTL:593"	"CAPN1"	"2"
"QTL:593"	"RASGRP2"	"2"
"QTL:909"	"ARHGAP1"	"2"
"QTL:909"	"CREB3L1"	"2"
"QTL:909"	"SLC17A6"	"2"
"QTL:95507"	"SLC17A6"	"2"
"QTL:909"	"KCNC1"	"2"
"QTL:37454"	"MMP7"	"9"
"QTL:37468"	"NGEF"	"15"
"QTL:5228"	"RAD1"	"16"
"QTL:5228"	"SOX30"	"16"
"QTL:5228"	"GALNT10"	"16"
"QTL:5227"	"ITGB4"	"12"
"QTL:5227"	"ITGB3"	"12"
"QTL:5261"	"ITGB3"	"12"
"QTL:6472"	"ITGB3"	"12"
"QTL:6479"	"ITGB3"	"12"
"QTL:4254"	"DCAKD"	"12"
"QTL:5227"	"DCAKD"	"12"
"QTL:5261"	"DCAKD"	"12"
"QTL:6472"	"DCAKD"	"12"
"QTL:6479"	"DCAKD"	"12"
"QTL:4254"	"KAT2A"	"12"
"QTL:5227"	"KAT2A"	"12"
"QTL:5261"	"KAT2A"	"12"
"QTL:6472"	"KAT2A"	"12"
"QTL:6479"	"KAT2A"	"12"
"QTL:4254"	"CCR7"	"12"
"QTL:5227"	"CCR7"	"12"
"QTL:5261"	"CCR7"	"12"
"QTL:6472"	"CCR7"	"12"
"QTL:6479"	"CCR7"	"12"
"QTL:2929"	"OSBPL7"	"12"
"QTL:5227"	"OSBPL7"	"12"
"QTL:5261"	"OSBPL7"	"12"
"QTL:595"	"OSBPL7"	"12"
"QTL:6472"	"OSBPL7"	"12"
"QTL:6479"	"OSBPL7"	"12"
"QTL:2929"	"HOXB4"	"12"
"QTL:5227"	"HOXB4"	"12"
"QTL:5261"	"HOXB4"	"12"
"QTL:595"	"HOXB4"	"12"
"QTL:6472"	"HOXB4"	"12"
"QTL:6479"	"HOXB4"	"12"
"QTL:2929"	"HOXB8"	"12"
"QTL:5227"	"HOXB8"	"12"
"QTL:5261"	"HOXB8"	"12"
"QTL:595"	"HOXB8"	"12"
"QTL:6472"	"HOXB8"	"12"
"QTL:6479"	"HOXB8"	"12"
"QTL:2929"	"HOXB7"	"12"
"QTL:5227"	"HOXB7"	"12"
"QTL:5261"	"HOXB7"	"12"
"QTL:595"	"HOXB7"	"12"
"QTL:6472"	"HOXB7"	"12"
"QTL:6479"	"HOXB7"	"12"
"QTL:2929"	"HOXB6"	"12"
"QTL:5227"	"HOXB6"	"12"
"QTL:5261"	"HOXB6"	"12"
"QTL:595"	"HOXB6"	"12"
"QTL:6472"	"HOXB6"	"12"
"QTL:6479"	"HOXB6"	"12"
"QTL:2929"	"HOXB5"	"12"
"QTL:5227"	"HOXB5"	"12"
"QTL:5261"	"HOXB5"	"12"
"QTL:595"	"HOXB5"	"12"
"QTL:6472"	"HOXB5"	"12"
"QTL:6479"	"HOXB5"	"12"
"QTL:2929"	"PPP1R9B"	"12"
"QTL:5227"	"PPP1R9B"	"12"
"QTL:5261"	"PPP1R9B"	"12"
"QTL:595"	"PPP1R9B"	"12"
"QTL:6472"	"PPP1R9B"	"12"
"QTL:6479"	"PPP1R9B"	"12"
"QTL:2929"	"SAMD14"	"12"
"QTL:5227"	"SAMD14"	"12"
"QTL:5261"	"SAMD14"	"12"
"QTL:595"	"SAMD14"	"12"
"QTL:6472"	"SAMD14"	"12"
"QTL:6479"	"SAMD14"	"12"
"QTL:2929"	"UTP18"	"12"
"QTL:5227"	"UTP18"	"12"
"QTL:5261"	"UTP18"	"12"
"QTL:595"	"UTP18"	"12"
"QTL:6472"	"UTP18"	"12"
"QTL:6479"	"UTP18"	"12"
"QTL:5227"	"USP43"	"12"
"QTL:5261"	"USP43"	"12"
"QTL:37463"	"CHD3"	"12"
"QTL:5227"	"CHD3"	"12"
"QTL:5261"	"CHD3"	"12"
"QTL:24289"	"FXYD1"	"6"
"QTL:5226"	"FXYD1"	"6"
"QTL:24288"	"KCNA5"	"5"
"QTL:1107"	"NET1"	"10"
"QTL:2929"	"CA10"	"12"
"QTL:5227"	"CA10"	"12"
"QTL:5261"	"CA10"	"12"
"QTL:595"	"CA10"	"12"
"QTL:6472"	"CA10"	"12"
"QTL:6479"	"CA10"	"12"
"QTL:1110"	"ACO1"	"10"
"QTL:5259"	"ACO1"	"10"
"QTL:5224"	"CPPED1"	"3"
"QTL:24289"	"ARHGEF16"	"6"
"QTL:5226"	"ARHGEF16"	"6"
"QTL:8665"	"ARHGEF16"	"6"
"QTL:24289"	"SDHAF1"	"6"
"QTL:5226"	"SDHAF1"	"6"
"QTL:24289"	"COQ9"	"6"
"QTL:5227"	"RAD51D"	"12"
"QTL:5261"	"RAD51D"	"12"
"QTL:595"	"RAD51D"	"12"
"QTL:6472"	"RAD51D"	"12"
"QTL:6479"	"RAD51D"	"12"
"QTL:5224"	"BAZ1B"	"3"
"QTL:5229"	"SIRPB1"	"17"
"QTL:17547"	"CNR2"	"6"
"QTL:17563"	"CNR2"	"6"
"QTL:5226"	"CNR2"	"6"
"QTL:8665"	"CNR2"	"6"
"QTL:37463"	"ARHGEF15"	"12"
"QTL:5227"	"ARHGEF15"	"12"
"QTL:5261"	"ARHGEF15"	"12"
"QTL:5229"	"CH242-240D14.1"	"17"
"QTL:24289"	"DOK4"	"6"
"QTL:5224"	"PAPOLB"	"3"
"QTL:24288"	"SRGAP1"	"5"
"QTL:2927"	"SRGAP1"	"5"
"QTL:984"	"SRGAP1"	"5"
"QTL:37443"	"C15orf40"	"7"
"QTL:5257"	"C15orf40"	"7"
"QTL:2929"	"GDPD1"	"12"
"QTL:5227"	"GDPD1"	"12"
"QTL:5261"	"GDPD1"	"12"
"QTL:595"	"GDPD1"	"12"
"QTL:6472"	"GDPD1"	"12"
"QTL:6479"	"GDPD1"	"12"
"QTL:24288"	"HOXC6"	"5"
"QTL:2927"	"HOXC6"	"5"
"QTL:984"	"HOXC6"	"5"
"QTL:1214"	"TMEM27"	"X"
"QTL:5229"	"CH242-165N9.3"	"17"
"QTL:2927"	"TTLL1"	"5"
"QTL:2927"	"ENTHD1"	"5"
"QTL:24288"	"CACNB3"	"5"
"QTL:2927"	"CACNB3"	"5"
"QTL:24288"	"WNT10B"	"5"
"QTL:2927"	"WNT10B"	"5"
"QTL:24288"	"GDF11"	"5"
"QTL:2927"	"GDF11"	"5"
"QTL:984"	"GDF11"	"5"
"QTL:24288"	"STAT2"	"5"
"QTL:2927"	"STAT2"	"5"
"QTL:984"	"STAT2"	"5"
"QTL:24288"	"INHBE"	"5"
"QTL:2927"	"INHBE"	"5"
"QTL:984"	"INHBE"	"5"
"QTL:24288"	"SYT10"	"5"
"QTL:24288"	"CAPZA3"	"5"
"QTL:24288"	"ERP27"	"5"
"QTL:24288"	"LAG3"	"5"
"QTL:5257"	"GPX6"	"7"
"QTL:584"	"GPX6"	"7"
"QTL:5257"	"GPX5"	"7"
"QTL:584"	"GPX5"	"7"
"QTL:5257"	"DDX39B"	"7"
"QTL:584"	"DDX39B"	"7"
"QTL:5257"	"GPANK1"	"7"
"QTL:584"	"GPANK1"	"7"
"QTL:5257"	"KHDRBS2"	"7"
"QTL:95512"	"KHDRBS2"	"7"
"QTL:95513"	"KHDRBS2"	"7"
"QTL:95514"	"KHDRBS2"	"7"
"QTL:95515"	"KHDRBS2"	"7"
"QTL:95516"	"KHDRBS2"	"7"
"QTL:95517"	"KHDRBS2"	"7"
"QTL:5257"	"RGL2"	"7"
"QTL:5257"	"TREM1"	"7"
"QTL:5257"	"CLIC5"	"7"
"QTL:6470"	"CLIC5"	"7"
"QTL:6488"	"CLIC5"	"7"
"QTL:277"	"GPX2"	"7"
"QTL:5257"	"GPX2"	"7"
"QTL:8804"	"GPX2"	"7"
"QTL:8805"	"GPX2"	"7"
"QTL:277"	"MPP5"	"7"
"QTL:5257"	"MPP5"	"7"
"QTL:8804"	"MPP5"	"7"
"QTL:8805"	"MPP5"	"7"
"QTL:37447"	"LTBP2"	"7"
"QTL:4251"	"LTBP2"	"7"
"QTL:5257"	"LTBP2"	"7"
"QTL:66299"	"LTBP2"	"7"
"QTL:8804"	"LTBP2"	"7"
"QTL:8805"	"LTBP2"	"7"
"QTL:37447"	"TGFB3"	"7"
"QTL:4251"	"TGFB3"	"7"
"QTL:5257"	"TGFB3"	"7"
"QTL:8804"	"TGFB3"	"7"
"QTL:8805"	"TGFB3"	"7"
"QTL:5257"	"FOXN3"	"7"
"QTL:24289"	"HP"	"6"
"QTL:24289"	"GRAMD1A"	"6"
"QTL:5226"	"GRAMD1A"	"6"
"QTL:24289"	"TGFB1"	"6"
"QTL:5226"	"TGFB1"	"6"
"QTL:24289"	"ZNF576"	"6"
"QTL:5226"	"ZNF576"	"6"
"QTL:24289"	"CLPTM1"	"6"
"QTL:5226"	"CLPTM1"	"6"
"QTL:24289"	"TSKS"	"6"
"QTL:5226"	"TSKS"	"6"
"QTL:24289"	"SYT3"	"6"
"QTL:5226"	"SYT3"	"6"
"QTL:24289"	"CH242-449E16.1"	"6"
"QTL:5226"	"CH242-449E16.1"	"6"
"QTL:8665"	"CH242-449E16.1"	"6"
"QTL:17563"	"EPHA2"	"6"
"QTL:24289"	"EPHA2"	"6"
"QTL:5226"	"EPHA2"	"6"
"QTL:8665"	"EPHA2"	"6"
"QTL:17563"	"PLA2G2A"	"6"
"QTL:24289"	"PLA2G2A"	"6"
"QTL:5226"	"PLA2G2A"	"6"
"QTL:8665"	"PLA2G2A"	"6"
"QTL:17563"	"PLA2G2F"	"6"
"QTL:24289"	"PLA2G2F"	"6"
"QTL:5226"	"PLA2G2F"	"6"
"QTL:8665"	"PLA2G2F"	"6"
"QTL:17563"	"PLA2G2D"	"6"
"QTL:24289"	"PLA2G2D"	"6"
"QTL:5226"	"PLA2G2D"	"6"
"QTL:8665"	"PLA2G2D"	"6"
"QTL:17563"	"PLA2G2C"	"6"
"QTL:24289"	"PLA2G2C"	"6"
"QTL:5226"	"PLA2G2C"	"6"
"QTL:8665"	"PLA2G2C"	"6"
"QTL:17547"	"EPHA8"	"6"
"QTL:17563"	"EPHA8"	"6"
"QTL:5226"	"EPHA8"	"6"
"QTL:8665"	"EPHA8"	"6"
"QTL:17547"	"EPHB2"	"6"
"QTL:17563"	"EPHB2"	"6"
"QTL:5226"	"EPHB2"	"6"
"QTL:8665"	"EPHB2"	"6"
"QTL:17547"	"ADCYAP1"	"6"
"QTL:5226"	"ADCYAP1"	"6"
"QTL:5226"	"TTLL7"	"6"
"QTL:583"	"TTLL7"	"6"
"QTL:5226"	"TXNDC12"	"6"
"QTL:5226"	"PRDX1"	"6"
"QTL:5226"	"TESK2"	"6"
"QTL:5226"	"C1orf210"	"6"
"QTL:276"	"QKI"	"1"
"QTL:5223"	"EPHA7"	"1"
"QTL:5223"	"HDAC2"	"1"
"QTL:6481"	"HDAC2"	"1"
"QTL:5223"	"COX7A2"	"1"
"QTL:6481"	"COX7A2"	"1"
"QTL:5223"	"MYO5B"	"1"
"QTL:5255"	"MYO5B"	"1"
"QTL:6481"	"MYO5B"	"1"
"QTL:5223"	"MYO5A"	"1"
"QTL:5255"	"MYO5A"	"1"
"QTL:6481"	"MYO5A"	"1"
"QTL:5223"	"MYO5C"	"1"
"QTL:5255"	"MYO5C"	"1"
"QTL:6481"	"MYO5C"	"1"
"QTL:5223"	"TMOD3"	"1"
"QTL:5255"	"TMOD3"	"1"
"QTL:6481"	"TMOD3"	"1"
"QTL:5223"	"TMOD2"	"1"
"QTL:5255"	"TMOD2"	"1"
"QTL:6481"	"TMOD2"	"1"
"QTL:5223"	"FBN1"	"1"
"QTL:5255"	"FBN1"	"1"
"QTL:6481"	"FBN1"	"1"
"QTL:5223"	"ELL3"	"1"
"QTL:5255"	"ELL3"	"1"
"QTL:6481"	"ELL3"	"1"
"QTL:5223"	"PDIA3"	"1"
"QTL:5255"	"PDIA3"	"1"
"QTL:6481"	"PDIA3"	"1"
"QTL:5223"	"SNAP23"	"1"
"QTL:5255"	"SNAP23"	"1"
"QTL:6481"	"SNAP23"	"1"
"QTL:5223"	"PPP1R14D"	"1"
"QTL:5255"	"PPP1R14D"	"1"
"QTL:6481"	"PPP1R14D"	"1"
"QTL:5223"	"TMX3"	"1"
"QTL:5255"	"TMX3"	"1"
"QTL:5223"	"KTN1"	"1"
"QTL:5255"	"KTN1"	"1"
"QTL:5223"	"SYT16"	"1"
"QTL:5255"	"SYT16"	"1"
"QTL:5223"	"TESK1"	"1"
"QTL:5255"	"TESK1"	"1"
"QTL:582"	"TESK1"	"1"
"QTL:1250"	"ERP44"	"1"
"QTL:5223"	"ERP44"	"1"
"QTL:5255"	"ERP44"	"1"
"QTL:582"	"ERP44"	"1"
"QTL:822"	"ERP44"	"1"
"QTL:845"	"ERP44"	"1"
"QTL:1250"	"CYLC2"	"1"
"QTL:5223"	"CYLC2"	"1"
"QTL:5255"	"CYLC2"	"1"
"QTL:822"	"CYLC2"	"1"
