Preferred_label;ID;Semantic_Category;Synonyms
sec66 (saccharomyces cerevisiae s288c);6134106;Genes & Molecular Sequences;s000000375, [entrezgene]852469, hss1 (saccharomyces cerevisiae s288c), sec71 (saccharomyces cerevisiae s288c), ybr171w
osh2 (saccharomyces cerevisiae s288c);6135258;Genes & Molecular Sequences;ydl019c, s000002177, [entrezgene]851543
gpd1 (saccharomyces cerevisiae s288c);6134349;Genes & Molecular Sequences;[entrezgene]851539, osr5 (saccharomyces cerevisiae s288c), hor1 (saccharomyces cerevisiae s288c), ydl022w, osg1 (saccharomyces cerevisiae s288c), s000002180, dar1 (saccharomyces cerevisiae s288c)
gpm2 (saccharomyces cerevisiae s288c);6133924;Genes & Molecular Sequences;s000002179, ydl021w, [entrezgene]851541
erp3 (saccharomyces cerevisiae s288c);6133708;Genes & Molecular Sequences;s000002176, ydl018c, [entrezgene]851544
ylr257w (saccharomyces cerevisiae s288c);6129545;Genes & Molecular Sequences;s000004247, ylr257w, [entrezgene]850961
lcb5 (saccharomyces cerevisiae s288c);6128657;Genes & Molecular Sequences;ylr260w, [entrezgene]850964, s000004250
vps63 (saccharomyces cerevisiae s288c);6128638;Genes & Molecular Sequences;s000004251, ylr261c, [entrezgene]850965
ypt6 (saccharomyces cerevisiae s288c);6128582;Genes & Molecular Sequences;s000004252, ylr262c, [entrezgene]850966
gsy2 (saccharomyces cerevisiae s288c);6128563;Genes & Molecular Sequences;s000004248, ylr258w, [entrezgene]850962
pol4 (saccharomyces cerevisiae s288c);6129824;Genes & Molecular Sequences;s000000607, ycr014c, [entrezgene]850372
rvs161 (saccharomyces cerevisiae s288c);6129500;Genes & Molecular Sequences;end6 (saccharomyces cerevisiae s288c), [entrezgene]850367, spe161 (saccharomyces cerevisiae s288c), s000000602, ycr009c, fus7 (saccharomyces cerevisiae s288c)
ady2 (saccharomyces cerevisiae s288c);6129430;Genes & Molecular Sequences;ycr010c, [entrezgene]850368, ato1 (saccharomyces cerevisiae s288c), s000000603
pgk1 (saccharomyces cerevisiae s288c);6129359;Genes & Molecular Sequences;ycr012w, s000000605, [entrezgene]850370
ifh1 (saccharomyces cerevisiae s288c);6129017;Genes & Molecular Sequences;ylr223c, s000004213, [entrezgene]850920
utp13 (saccharomyces cerevisiae s288c);6128870;Genes & Molecular Sequences;s000004212, [entrezgene]850919, ylr222c
ylr225c (saccharomyces cerevisiae s288c);6128502;Genes & Molecular Sequences;s000004215, ylr225c, [entrezgene]850922
bur2 (saccharomyces cerevisiae s288c);6128165;Genes & Molecular Sequences;[entrezgene]850923, cst4 (saccharomyces cerevisiae s288c), s000004216, ylr226w
