"","accessionID","accessionName","accessionDescription","fromGenebank","fromGenebankID","fromGenebankID2","spp","speciesName","taxonomyID","subTaxaID","gpsLat","gpsLat_txt","gpsLong","gpsLong_txt","adm1","adm2","collectionSiteCountry","adm0","collectionSite","collectionSiteDetails","collectionSiteProvence","collectionDate","colNu_IPD","elevation","chromosomeNumber","germplasmStatus","MTA","ploidy","storageID","remarkID","dateCreated","lastUpdate"
"2512","EA02512","Lycopersicon esculentum Mill.",NA,"GATERSLEBEN","LYC 1126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GT",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2513","EA02513","Lycopersicon esculentum Mill.",NA,"GATERSLEBEN","LYC 1127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GT",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2514","EA02514","Lycopersicon esculentum Mill.",NA,"GATERSLEBEN","LYC 1128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GT",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2515","EA02515","Lycopersicon esculentum Mill.",NA,"GATERSLEBEN","LYC 1129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GT",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2516","EA02516","Lycopersicon esculentum Mill.",NA,"GATERSLEBEN","LYC 1130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GT",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2517","EA02517","Lycopersicon esculentum Mill.",NA,"GATERSLEBEN","LYC 1131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GT",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2518","EA02518","Lycopersicon esculentum Mill.",NA,"GATERSLEBEN","LYC 1132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GT",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2519","EA02519","Lycopersicon esculentum Mill.",NA,"GATERSLEBEN","LYC 1138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GT",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2520","EA02520","Lycopersicon esculentum Mill.",NA,"GATERSLEBEN","LYC 1145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GT",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2521","EA02521","Lycopersicon esculentum Mill.",NA,"GATERSLEBEN","LYC 1153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GT",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2522","EA02522","Lycopersicon esculentum Mill.",NA,"GATERSLEBEN","LYC 1158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GT",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2523","EA02523","Lycopersicon esculentum Mill.",NA,"GATERSLEBEN","LYC 1162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2524","EA02524","Lycopersicon esculentum Mill.",NA,"GATERSLEBEN","LYC 1164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2525","EA02525","Premiere Revolte' Lycopersicon esculentum Mill. Convar.infiniens Lehm. Var.commune Bail.",NA,"GATERSLEBEN","LYC 1168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FR",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2526","EA02526","Ruzovy Kar' Lycopersicon esculentum Mill. Convar.fruticosum Lehm. Var.speciosum Lehm.",NA,"GATERSLEBEN","LYC 1169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CZ",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2527","EA02527","Meme' Lycopersicon esculentum Mill. Convar.infiniens Lehm. Var.commune Bail.",NA,"GATERSLEBEN","LYC 1170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HU",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2528","EA02528","Oahu' Lycopersicon esculentum Mill. Convar.infiniens Lehm. Var.commune Bail.",NA,"GATERSLEBEN","LYC 1174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2529","EA02529","First Early' Lycopersicon esculentum Mill. convar.infiniens Lehm. Var.commune Bail.",NA,"GATERSLEBEN","LYC 1177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2530","EA02530","Early Market' Lycopersicon esculentum Mill. Convar.infiniens Lehm. Var.commune Bail.",NA,"GATERSLEBEN","LYC 1178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2531","EA02531","Wisconsin 55' Lycopersicon esculentum Mill. Convar.infiniens Lehm. Var.commune Bail.",NA,"GATERSLEBEN","LYC 1180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2532","EA02532","Chesapeake' Lycopersicon esculentum Mill. Convar.infiniens Lehm. Var.commune Bail.",NA,"GATERSLEBEN","LYC 1181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2533","EA02533","Dessert Plantense' Lycopersicon esculentum Mill. Convar.infiniens Lehm. Var.commune Bail.",NA,"GATERSLEBEN","LYC 1188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2534","EA02534","Colorado Red' Lycopersicon esculentum Mill. Convar.infiniens Lehm. Var.commune Bail.",NA,"GATERSLEBEN","LYC 1193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2535","EA02535","Rio Rrande' Lycopersicon esculentum Mill. Convar.fruticosum Lehm. Var.finiens Lehm.",NA,"GATERSLEBEN","LYC 1194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2536","EA02536","Homestead 61' Lycopersicon esculentum Mill. Comvar.fruticosum Lehm. Var.finiens Lehm.",NA,"GATERSLEBEN","LYC 1195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2537","EA02537","Homestead 24' Lycopersicon esculentum Mill. Convar. fruticosum Lehm. Var. finiens Lehm.",NA,"GATERSLEBEN","LYC 1196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2538","EA02538","Imperial' Lycopersicon esculentum Mill. Convar.fruticosum Lehm. Var.finiens Lehm.",NA,"GATERSLEBEN","LYC 1197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2539","EA02539","Ohio W-R 1' Lycopersicon esculentum Mill. Convar.infiniens Lehm. Var.incarnatum Lehm.",NA,"GATERSLEBEN","LYC 1198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2540","EA02540","Cambell 135'  Lycopersicon esculentum Mill. Convar.infiniens Lehm. Var.commune Bail.",NA,"GATERSLEBEN","LYC 1201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2541","EA02541","Pearson B' Lycopersicon esculentum Mill. Convar.infiniens Lehm. Var.commune Bail.",NA,"GATERSLEBEN","LYC 1202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2542","EA02542","Anahu'  Lycopersicon esculentum Mill. Convar.infiniens Lehm. Var.pluriloculare Lehm.",NA,"GATERSLEBEN","LYC 1207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2543","EA02543","Heinz Spezial' Lycopersicon esculentum Mill. Convar.infiniens Lehm. Var.commune Bail.",NA,"GATERSLEBEN","LYC 1214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2544","EA02544","Florisant' Lycopersicon esculentum Mill. Convar.infiniens Lehm. Var.incarnatum Lehm.",NA,"GATERSLEBEN","LYC 1224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2545","EA02545","Florisant' Lycopersicon esculentum Mill. Convar. infiniens Lehm. Var. flammatum Lehm.",NA,"GATERSLEBEN","LYC 1224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NL",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2546","EA02546","Tip Top' Lycopersicon esculentum Mill. Convar. infiniens Lehm. Var. subviride Lehm.",NA,"GATERSLEBEN","LYC 1226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2547","EA02547","Jogewa 135' Lycopersicon esculentum Mill. Convar. fruticosum Lehm. Var. finiens Lehm.",NA,"GATERSLEBEN","LYC 1227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EE",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2548","EA02548","Planet' Lycopersicon esculentum Mill. Convar. infiniens Lehm. Var. subviride Lehm.",NA,"GATERSLEBEN","LYC 1228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,346,"2009-09-18","2010-02-17 17:06:26"
"2549","EA02549","Magnif Olympica' Lycopersicon esculantum Mill.esculantum esculantum",NA,"GATERSLEBEN","LYC 1229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2550","EA02550","Dippes Nz 802' Lycopersicon esculentum Mill. Convar. scopigerum Lehm. Var. scopigerum Lehm.",NA,"GATERSLEBEN","LYC 1230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,347,"2009-09-18","2010-02-17 17:06:26"
"2551","EA02551","Porzeczkowe' Lycopersicon pimpinellifolium (Jusl.) Mill.",NA,"GATERSLEBEN","LYC 1231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",NA,NA,NA,NA,NA,NA,NA,NA,"wild","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2552","EA02552","Karlik' Lycopersicon esculentum Mill. Convar. fruticosum Lehm. Var. pygmaeum Lehm.",NA,"GATERSLEBEN","LYC 1232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,348,"2009-09-18","2010-02-17 17:06:26"
"2553","EA02553"," 'Jablonelistnyj' Lycopersicon esculentum Mill. Convar. Esculentum var. esculentum",NA,"GATERSLEBEN","LYC 1233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UA",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2554","EA02554","Stambovye Alpat'eva' Lycopersicon esculentum Mill. Convar. fruticosum Lehm.",NA,"GATERSLEBEN","LYC 1235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RU",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,289,"2009-09-18","2010-02-17 17:06:26"
"2555","EA02555","Stambovyj 181' Lycopersicon esculentum Mill.",NA,"GATERSLEBEN","LYC 1238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RU",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,289,"2009-09-18","2010-02-17 17:06:26"
"2556","EA02556","BlumenstrauB' Lycopersicon esculentum Mill.",NA,"GATERSLEBEN","LYC 1240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,349,"2009-09-18","2010-02-17 17:06:26"
"2557","EA02557","Grazi Torpe' Lycopersicon esculentum Mill.",NA,"GATERSLEBEN","LYC 1241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,289,"2009-09-18","2010-02-17 17:06:26"
"2558","EA02558","Rotkappchen' Lycopersicon esculentum Mill.",NA,"GATERSLEBEN","LYC 1242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2559","EA02559","Jahoda' Lycopersicon esculentum Mill. Convar. infiniens Lehm.",NA,"GATERSLEBEN","LYC 1243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2560","EA02560","Atom' Lycopersicon sp.",NA,"GATERSLEBEN","LYC 1244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2561","EA02561","Earlypak' Lycopersicon esculentum Mill. Convar. fruticosum Lehm. Var. finiens Lehm.",NA,"GATERSLEBEN","LYC 1246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2562","EA02562","V Red Top 9' Lycopersicon esculentum Mill.",NA,"GATERSLEBEN","LYC 1249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2563","EA02563","Jogewa 35' Lycopersicon esculentum Mill. Convar. fruticosum Lehm. Var. finiens Lehm.",NA,"GATERSLEBEN","LYC 1255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EE",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,348,"2009-09-18","2010-02-17 17:06:26"
"2564","EA02564","Bibor' Lycopersicon esculentum Mill. Convar. infiniens Lehm. Var. commune Bail.",NA,"GATERSLEBEN","LYC 1256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HU",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2565","EA02565","Ca Chua Hong' Lycopersicon esculentum Mill. Convar. infiniens Lehm. Var. commune Bail.",NA,"GATERSLEBEN","LYC 1258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VN",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2566","EA02566","Pruhonicky Universal' Lycopersicon esculentum Mill. Convar. infiniens Lehm. Var. flammatum Lehm.",NA,"GATERSLEBEN","LYC 1260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CZ",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2567","EA02567","Apollo' Lycopersicon esculentum Mill. Convar. infiniens Lehm. Var. subviride Lehm.",NA,"GATERSLEBEN","LYC 1267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2568","EA02568","Chrestensens Edelrot' Lycopersicon esculentum Mill. Convar. fruticosum Lehm. Var. pygmaeum Lehm.",NA,"GATERSLEBEN","LYC 1268",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,348,"2009-09-18","2010-02-17 17:06:26"
"2569","EA02569","Dominator' Lycopersicon esculentum Mill. Convar. infiniens Lehm. Var. flammatum Lehm.",NA,"GATERSLEBEN","LYC 1269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2570","EA02570","Hellperle' Lycopersicon esculentum Mill. Convar. infiniens Lehm. Var. subviride Lehm.",NA,"GATERSLEBEN","LYC 1270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,350,"2009-09-18","2010-02-17 17:06:26"
"2571","EA02571","Plovdivski Export' Lycopersicon esculentum Mill. Convar. infiniens Lehm. Var. flammatum Lehm.",NA,"GATERSLEBEN","LYC 1274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BG",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2572","EA02572","Bonner Beste' Lycopersicon esculentum Mill. Convar. infiniens Lehm. Var. flammatum Lehm.",NA,"GATERSLEBEN","LYC 1277",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2573","EA02573","Rijk Zwaan's No. 57' Lycopersicon esculentum Mill. Convar. infiniens Lehm. Var. subviride Lehm.",NA,"GATERSLEBEN","LYC 1281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NL",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2574","EA02574","Bonny Best' Lycopersicon esculentum Mill. Convar. infiniens Lehm. Var. flammatum Lehm.",NA,"GATERSLEBEN","LYC 1282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2575","EA02575"," 'Dr. Grundmann St. 702' Lycopersicon esculentum Mill. Convar. infiniens Lehm. Var. flammatum Lehm.",NA,"GATERSLEBEN","LYC 1284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2576","EA02576"," 'Gartenfreude' Lycopersicon esculentum Mill. Convar. parvibaccatum Lehm. Var. cerasiforme (Dun.) Alef. s.l.",NA,"GATERSLEBEN","LYC 1285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,351,"2009-09-18","2010-02-17 17:06:26"
"2577","EA02577"," 'Zuckertomate' Lycopersicon esculentum Mill. Convar. parvibaccatum Lehm. Var. cerasiforme (Dun.) Alef. s.l.",NA,"GATERSLEBEN","LYC 1286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2578","EA02578"," 'Birjucekutskij' Lycopersicon esculentum Mill. Convar. infiniens Lehm. Var. commune Bail.",NA,"GATERSLEBEN","LYC 1287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RU",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2579","EA02579"," 'Donskoj' Lycopersicon esculentum Mill. Convar. fruticosum Lehm. Var. finiens Lehm.",NA,"GATERSLEBEN","LYC 1288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RU",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2580","EA02580","VF 14-17159' Lycopersicon esculentum Mill. Convar. fruticosum Lehm. Var. speciosum Lehm.",NA,"GATERSLEBEN","LYC 1291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GB",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,352,"2009-09-18","2010-02-17 17:06:26"
"2581","EA02581","Kecskemeti' Lycopersicon esculentum Mill. Convar. fruticosum Lehm. Var. speciosum Lehm.",NA,"GATERSLEBEN","LYC 1292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HU ",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,353,"2009-09-18","2010-02-17 17:06:26"
"2582","EA02582","Tempo' Lycopersicon esculentum Mill. Convar. fruticosum Lehm. Var. pygmaeum Lehm.",NA,"GATERSLEBEN","LYC 1293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PL",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","NULL",NA,NA,354,"2009-09-18","2010-02-17 17:06:26"
"2583","EA02583","Sheyenne' Lycopersicon esculentum Mill. Convar. fruticosum Lehm. Var. speciosum Lehm.",NA,"GATERSLEBEN","LYC 1294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NL",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","NULL",NA,NA,354,"2009-09-18","2010-02-17 17:06:26"
"2584","EA02584","Ohio W-R-3' Lycopersicon esculentum Mill. Convar. infiniens Lehm. Var. incarnatum Lehm.",NA,"GATERSLEBEN","LYC 1297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2585","EA02585"," 'ES 24 Heinz' Lycopersicon esculentum Mill. Convar. infiniens Lehm. Var. pluriloculare Lehm.",NA,"GATERSLEBEN","LYC 1298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,355,"2009-09-18","2010-02-17 17:06:26"
"2586","EA02586"," 'Stambovyj 852' Lycopersicon esculentum Mill. Convar. infiniens Lehm. Var. validum Bail.",NA,"GATERSLEBEN","LYC 1303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RU",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,289,"2009-09-18","2010-02-17 17:06:26"
"2587","EA02587","Erevani 14' Lycopersicon esculentum Mill. Convar. fruticosum Lehm. Var. finiens Lehm.",NA,"GATERSLEBEN","LYC 1304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RU",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,NA,"2009-09-18","2010-02-11 13:33:17"
"2588","EA02588","Napri 314' Lycopersicon esculentum Mill. Convar. infiniens Lehm. Var. validum Bail.",NA,"GATERSLEBEN","LYC 1305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unk",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,289,"2009-09-18","2010-02-17 17:06:26"
"2589","EA02589","Volgogradskij 5/95' Lycopersicon esculentum Mill. Convar. infiniens Lehm. Var. validum Bail.",NA,"GATERSLEBEN","LYC 1306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RU ",NA,NA,NA,NA,NA,NA,NA,NA,"cultivated","Gatersleben",NA,NA,289,"2009-09-18","2010-02-17 17:06:26"
