ump1 (saccharomyces cerevisiae s288c);1897002;is adjacent to;swd3 (saccharomyces cerevisiae s288c);1897161;5.0
ump1 (saccharomyces cerevisiae s288c);1897002;is adjacent to;swd3 (saccharomyces cerevisiae s288c);1897161;5.0
ump1 (saccharomyces cerevisiae s288c);1897002;is adjacent to;sec66 (saccharomyces cerevisiae s288c);1896979;5.0
ump1 (saccharomyces cerevisiae s288c);1897002;is adjacent to;sec66 (saccharomyces cerevisiae s288c);1896979;5.0
ucc1 (saccharomyces cerevisiae s288c);1890634;is adjacent to;utp13 (saccharomyces cerevisiae s288c);1891078;5.0
ucc1 (saccharomyces cerevisiae s288c);1890634;is adjacent to;utp13 (saccharomyces cerevisiae s288c);1891078;5.0
ucc1 (saccharomyces cerevisiae s288c);1890634;is adjacent to;ylr225c (saccharomyces cerevisiae s288c);1890351;5.0
ucc1 (saccharomyces cerevisiae s288c);1890634;is adjacent to;ylr225c (saccharomyces cerevisiae s288c);1890351;5.0
ucc1 (saccharomyces cerevisiae s288c);1890634;is adjacent to;ifh1 (saccharomyces cerevisiae s288c);1889707;5.0
ucc1 (saccharomyces cerevisiae s288c);1890634;is adjacent to;ifh1 (saccharomyces cerevisiae s288c);1889707;5.0
ucc1 (saccharomyces cerevisiae s288c);1890634;is adjacent to;bur2 (saccharomyces cerevisiae s288c);1889525;5.0
ucc1 (saccharomyces cerevisiae s288c);1890634;is adjacent to;bur2 (saccharomyces cerevisiae s288c);1889525;5.0
vps34 (saccharomyces cerevisiae s288c);1889587;is adjacent to;far10 (saccharomyces cerevisiae s288c);1891032;5.0
vps34 (saccharomyces cerevisiae s288c);1889587;is adjacent to;far10 (saccharomyces cerevisiae s288c);1891032;5.0
vps34 (saccharomyces cerevisiae s288c);1889587;is adjacent to;csc1 (saccharomyces cerevisiae s288c);1890511;5.0
vps34 (saccharomyces cerevisiae s288c);1889587;is adjacent to;csc1 (saccharomyces cerevisiae s288c);1890511;5.0
vps34 (saccharomyces cerevisiae s288c);1889587;is adjacent to;lip2 (saccharomyces cerevisiae s288c);1890346;5.0
vps34 (saccharomyces cerevisiae s288c);1889587;is adjacent to;lip2 (saccharomyces cerevisiae s288c);1890346;5.0
vps34 (saccharomyces cerevisiae s288c);1889587;is adjacent to;arv1 (saccharomyces cerevisiae s288c);1889376;5.0
vps34 (saccharomyces cerevisiae s288c);1889587;is adjacent to;arv1 (saccharomyces cerevisiae s288c);1889376;5.0
stp22 (saccharomyces cerevisiae s288c);1889021;is adjacent to;vma9 (saccharomyces cerevisiae s288c);369031;5.0
stp22 (saccharomyces cerevisiae s288c);1889021;is adjacent to;vma9 (saccharomyces cerevisiae s288c);369031;5.0
stp22 (saccharomyces cerevisiae s288c);1889021;is adjacent to;snr43 (saccharomyces cerevisiae s288c);368701;5.0
stp22 (saccharomyces cerevisiae s288c);1889021;is adjacent to;snr43 (saccharomyces cerevisiae s288c);368701;5.0
stp22 (saccharomyces cerevisiae s288c);1889021;is adjacent to;ilv6 (saccharomyces cerevisiae s288c);1889891;5.0
stp22 (saccharomyces cerevisiae s288c);1889021;is adjacent to;ilv6 (saccharomyces cerevisiae s288c);1889891;5.0
stp22 (saccharomyces cerevisiae s288c);1889021;is adjacent to;sgf29 (saccharomyces cerevisiae s288c);1889560;5.0
stp22 (saccharomyces cerevisiae s288c);1889021;is adjacent to;sgf29 (saccharomyces cerevisiae s288c);1889560;5.0
