"Subject","Predicate","Object","Provenance","Score"
"loc4335790 (oryza sativa japonica)","gene product has function","antibacterial peptide activity","http://ensembl.gramene.org/Multi/Search/Results?species=all;idx=;q=OS04G0413500","11.3388"
"antibacterial peptide activity","gene product has function","loc4324691 (oryza sativa japonica)","http://ensembl.gramene.org/Multi/Search/Results?species=all;idx=;q=OS01G0718300","11.3388"
"loc4335790 (oryza sativa japonica)","performs","cell growth and/or maintenance","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os04g33740","11.8642"
"cell growth and/or maintenance","performs","loc4324691 (oryza sativa japonica)","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os01g52050","11.8642"
"loc4335790 (oryza sativa japonica)","performs","cellular process","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os04g33740","12.3254"
"cellular process","performs","loc4324691 (oryza sativa japonica)","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os01g52050","12.3254"
"loc4335790 (oryza sativa japonica)","gene product has function","metabolic process resulting in cell growth","http://ensembl.gramene.org/Multi/Search/Results?species=all;idx=;q=OS04G0413500","12.707"
"metabolic process resulting in cell growth","performs","loc4324691 (oryza sativa japonica)","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os04g33740","12.707"
"loc4335790 (oryza sativa japonica)","gene product has function","metabolic process resulting in cell growth","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os01g52050","12.707"
"loc4335790 (oryza sativa japonica)","gene product has function","metabolism resulting in cell growth","http://ensembl.gramene.org/Multi/Search/Results?species=all;idx=;q=OS04G0413500","12.9266"
"metabolism resulting in cell growth","performs","loc4324691 (oryza sativa japonica)","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os04g33740","12.9266"
"loc4335790 (oryza sativa japonica)","gene product has function","metabolism resulting in cell growth","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os01g52050","12.9266"
"loc4338448 (oryza sativa japonica)","is associated with","grain size","http://browser.planteome.org/amigo/search/ontology?q=TO:0000397","4.0305"
"grain size","is part of","grain thickness","http://www.ncbi.nlm.nih.gov/pubmed/12237405","4.0305"
"loc4338448 (oryza sativa japonica)","is associated with","grain size","http://tools.gramene.org/ontology/term/to:0000399","4.0305"
"os07g0153600 (oryza sativa japonica)","performs","nucleobase, nucleoside and nucleotide metabolic process","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os07g05900","10.6938"
"nucleobase, nucleoside and nucleotide metabolic process","performs","loc4338448 (oryza sativa japonica)","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os05g26890","10.6938"
"os07g0153600 (oryza sativa japonica)","performs","nucleobase-containing compound metabolic process","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os07g05900","10.7143"
"nucleobase-containing compound metabolic process","performs","loc4338448 (oryza sativa japonica)","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os05g26890","10.7143"
"os07g0153600 (oryza sativa japonica)","carries out","biosynthetic process","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os07g05900","11.1301"
"biosynthetic process","carries out","loc4338448 (oryza sativa japonica)","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os05g26890","11.1301"
"loc4347031 (oryza sativa japonica)","performs","embryogenesis and morphogenesis","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os09g24480","10.1583"
"embryogenesis and morphogenesis","performs","loc4324691 (oryza sativa japonica)","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os01g52050","10.1583"
"loc4347031 (oryza sativa japonica)","performs","morphogenesis","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os09g24480","10.9523"
"morphogenesis","performs","loc4324691 (oryza sativa japonica)","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os01g52050","10.9523"
"loc4347031 (oryza sativa japonica)","performs","multicellular organismal development","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os09g24480","11.7745"
"multicellular organismal development","performs","loc4324691 (oryza sativa japonica)","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=LOC_Os01g52050","11.7745"
"loc4336116 (oryza sativa japonica)","is functionally related to","cyp724a1 (arabidopsis thaliana)","http://phytozome.jgi.doe.gov/pz/portal.html#!results?search=0&crown=1&star=1&method=0&searchText=AT5G14400","9.6514"
"cyp724a1 (arabidopsis thaliana)","is functionally related to","fruit length","http://plants.ensembl.org/Arabidopsis_thaliana/Variation/Explore?r=1:7101-8101;v=ENSVATH00621762;vdb=variation;vf=22","9.6514"
"dehulled grain weight","is associated with","loc4335790 (oryza sativa japonica)","http://browser.planteome.org/amigo/search/ontology?q=TO:0000097","6.8277"
"loc4335790 (oryza sativa japonica)","is associated with","grain yield trait","NA","6.8277"
"grain yield trait","is a","grain number","http://tools.gramene.org/ontology/term/to:0002759","3.6427"
"grain number","is a","unfilled grain number","http://tools.gramene.org/ontology/term/to:0000028","3.6427"
"grain size","is associated with","loc4324691 (oryza sativa japonica)","http://browser.planteome.org/amigo/search/ontology?q=TO:0000040","7.0653"
"loc4324691 (oryza sativa japonica)","is associated with","grain yield trait","NA","7.0653"
"grain number","is a","filled grain number","http://tools.gramene.org/ontology/term/to:0000447","4.972"
"filled grain number","is associated with","aqe014   (oryza sativa japonica)","http://archive.gramene.org/db/qtl/qtl_display?qtl_accession_id=AQE014","4.972"
"filled grain number","is a","grain number","http://tools.gramene.org/ontology/term/to:0000447","5.7396"
"grain number","is a","grain yield trait","http://tools.gramene.org/ontology/term/to:0002759","5.7396"
"loc4324691 (oryza sativa japonica)","is associated with","grain size","http://browser.planteome.org/amigo/search/ontology?q=TO:0000040","2.8785"
"loc4335790 (oryza sativa japonica)","is associated with","grain yield trait","NA","4.1075"
"loc4338448 (oryza sativa japonica)","is associated with","grain size","http://browser.planteome.org/amigo/search/ontology?q=TO:0000397","2.9513"
"loc4338448 (oryza sativa japonica)","is associated with","grain size","http://www.ncbi.nlm.nih.gov/pubmed/12237405","2.9513"
"os07g0153600 (oryza sativa japonica)","is associated with","grain number","http://browser.planteome.org/amigo/search/ontology?q=TO:0000357","2.0792"
"os07g0153600 (oryza sativa japonica)","is associated with","grain number","http://www.ncbi.nlm.nih.gov/pubmed/18820699","2.0792"
"loc4336116 (oryza sativa japonica)","is associated with","grain size","http://browser.planteome.org/amigo/search/ontology?q=TO:0000207","2.8312"
"loc4336116 (oryza sativa japonica)","is associated with","grain size","http://www.ncbi.nlm.nih.gov/pubmed/15705958","2.8312"
