4042749;28;4964457
4964457;34;3461869
4042749;28;588040
588040;8;3461869
4042749;28;834346
834346;3;3461869
4042749;28;5225041
5225041;5;3461869
4042749;28;4970313
4970313;3;3461869
4042749;28;1288761
1288761;5;3461869
4044156;28;4964457
4964457;34;3461869
4044156;28;588040
588040;5;3461869
4044156;28;1110692
1110692;3;3461869
4044156;28;1264076
1264076;3;3461869
4044156;28;4055907
4055907;34;3461869
4044156;28;5225041
5225041;5;3461869
4044156;28;696567
696567;5;3461869
4044156;28;799920
799920;5;3461869
4044156;28;696073
696073;5;3461869
4044156;28;993360
993360;5;3461869
4043331;5;5210546
5210546;5;3461869
4043331;28;967758
967758;5;3461869
4043331;28;94641
94641;3;3461869
4043331;28;4982009
4982009;34;3461869
4043331;28;654733
654733;34;3461869
4043331;28;1134038
1134038;8;3461869
4043331;28;837632
837632;67;3461869
4043331;28;1288636
1288636;109;3461869
4043331;28;5215793
5215793;67;3461869
4043331;52;4053505
4053505;29;3461869
4044162;28;774483
774483;5;3461869
4044162;28;1250983
1250983;65;3461869
4044162;28;5210546
5210546;67;3461869
4044162;28;4965352
4965352;34;3461869
4044162;28;5222812
5222812;34;3461869
4044162;28;922532
922532;3;3461869
4044162;28;720782
720782;76;3461869
4044162;28;4970313
4970313;3;3461869
4044162;28;4056576
4056576;76;3461869
4044162;28;1288761
1288761;76;3461869
4045917;28;774483
774483;76;3461869
4045917;28;4056576
4056576;87;3461869
4045917;28;1288761
1288761;8;3461869
4045917;28;4963555
4963555;86;3461869
4045917;52;4050444
4050444;29;3461869
4044097;28;588040
588040;76;3461869
4044097;28;94641
94641;3;3461869
4044097;28;4982009
4982009;34;3461869
4044097;28;720782
720782;67;3461869
4044097;28;4963546
4963546;67;3461869
4044097;28;4053781
4053781;67;3461869
4044097;28;4056822
4056822;67;3461869
4044097;28;4964717
4964717;67;3461869
4044097;28;1288761
1288761;7;3461869
4044097;28;4963555
4963555;6;3461869
4041509;28;588040
588040;56;3461869
4041509;28;654733
654733;34;3461869
4041509;28;4962734
4962734;54;3461869
4041509;28;1022837
1022837;45;3461869
4041509;28;4056999
4056999;3;3461869
4041509;28;1288761
1288761;43;3461869
4041509;28;4963555
4963555;43;3461869
4045700;28;4992694
4992694;56;3461869
4045700;28;1250983
1250983;65;3461869
4045700;28;5213434
5213434;34;3461869
4045700;28;4964239
4964239;65;3461869
4045700;28;726929
726929;56;3461869
4045700;28;588040
588040;65;3461869
4045700;28;1110692
1110692;3;3461869
4045700;28;5220552
5220552;3;3461869
4045700;28;4980960
4980960;34;3461869
4045700;28;967758
967758;34;3461869
4042617;28;774483
774483;34;3461869
4042617;28;4055878
4055878;3;3461869
4042617;28;94641
94641;3;3461869
4042617;28;4056001
4056001;3;3461869
4042617;28;4962731
4962731;3;3461869
4042617;28;4053781
4053781;34;3461869
4042617;28;4056822
4056822;43;3461869
4042617;28;4056576
4056576;34;3461869
4042617;28;4963555
4963555;34;3461869
4045222;28;588040
588040;34;3461869
4045222;28;1247884
1247884;34;3461869
4045222;28;1172213
1172213;3;3461869
4045222;28;4991491
4991491;34;3461869
4045222;28;4056001
4056001;3;3461869
4045222;28;720782
720782;34;3461869
4045222;28;4056965
4056965;34;3461869
4045222;28;738833
738833;34;3461869
4045222;28;4053781
4053781;34;3461869
4045222;28;4963421
4963421;43;3461869
4038993;28;429222
429222;34;3461869
4038993;28;799920
799920;43;3461869
4038993;28;654733
654733;34;3461869
4038993;9;1903602
1903602;3;3461869
4042036;28;1250983
1250983;43;3461869
4042036;28;5225728
5225728;43;3461869
4042036;28;588040
588040;34;3461869
4042036;28;834346
834346;3;3461869
4042036;28;5225041
5225041;23;3461869
4042036;28;1289029
1289029;3;3461869
4042036;28;4974233
4974233;32;3461869
4042036;28;4991491
4991491;32;3461869
4042036;28;922532
922532;3;3461869
4042036;28;5221754
5221754;3;3461869
4041878;28;4966045
4966045;3;3461869
4041878;28;5225728
5225728;5;3461869
4041878;28;5210546
5210546;65;3461869
4041878;28;1264076
1264076;3;3461869
4041878;28;834346
834346;3;3461869
4041878;28;895381
895381;3;3461869
4041878;28;5225041
5225041;65;3461869
4041878;28;5221131
5221131;34;3461869
4041878;28;4052753
4052753;3;3461869
4041878;28;186865
186865;34;3461869
4046389;6;774483
774483;56;3461869
4046389;28;1289029
1289029;3;3461869
4046389;28;5221754
5221754;3;3461869
4046389;28;4053781
4053781;56;3461869
4046389;28;4056999
4056999;3;3461869
4046389;28;4963421
4963421;54;3461869
4046389;28;4963555
4963555;54;3461869
4045696;28;4502385
4502385;3;3461869
4045696;28;5210546
5210546;4;3461869
4045696;28;588040
588040;34;3461869
4045696;28;4980960
4980960;34;3461869
4045696;28;5225041
5225041;4;3461869
4045696;28;1287410
1287410;3;3461869
4045696;28;720782
720782;56;3461869
4045696;52;798604
798604;3;3461869
4045696;28;5215793
5215793;6;3461869
4045696;28;738833
738833;65;3461869
